order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1478445,129092,The Meatball Shop,Chinese,32.800610083118045,Weekend,5,22,23
1478446,373255,Blue Ribbon Fried Chicken,Mediterranean,16.695461517861595,Weekday,3,35,15
1478447,302790,Blue Ribbon Sushi,Japanese,14.520490132921545,Weekday,5,25,27
1478448,138024,RedFarm Broadway,American,18.058331036046603,Weekend,Not given,27,26
1478449,384360,J. G. Melon,American,14.972527402135096,Weekday,4,25,28
1478450,241719,Sarabeth's Restaurant,American,15.289728391068524,Weekend,Not given,25,23
1478451,55190,Jack's Wife Freda,Japanese,17.2339520651878,Weekend,5,20,19
1478452,300522,RedFarm Broadway,Japanese,31.54756757394301,Weekend,Not given,20,24
1478453,75484,da Umberto,American,15.787024114703376,Weekend,3,27,29
1478454,141415,Yama Japanese Restaurant,Middle Eastern,30.730852935313344,Weekday,5,33,24
1478455,60552,Room Service,Japanese,11.983135623761706,Weekday,5,27,25
1478456,87006,Sushi of Gari,Italian,23.57443109320072,Weekend,Not given,23,26
1478457,200574,J. G. Melon,Japanese,20.48761014214336,Weekend,5,26,30
1478458,352061,The Meatball Shop,Italian,8.954707979518924,Weekday,5,29,24
1478459,378535,The Meatball Shop,Japanese,14.829423454162836,Weekend,Not given,25,17
1478460,155598,Sarabeth's East,American,15.51333538502426,Weekend,3,33,29
1478461,98491,Blue Ribbon Sushi,Italian,34.97611535359614,Weekend,Not given,27,26
1478462,178672,The Meatball Shop,Chinese,17.472488689034254,Weekend,Not given,24,24
1478463,110061,P.J. Clarke's,Japanese,17.01304856540861,Weekday,5,31,24
1478464,120323,Blue Ribbon Sushi,American,14.549690967783464,Weekday,5,20,29
1478465,78879,Shake Shack,American,14.149082461539578,Weekend,Not given,31,27
1478466,87400,Westville Hudson,Japanese,16.880299265700977,Weekend,5,26,29
1478467,365225,Shake Shack,American,31.484584963553715,Weekend,Not given,31,26
1478468,316402,Han Dynasty,Japanese,30.57657611189763,Weekday,Not given,22,15
1478469,142431,The Meatball Shop,Italian,17.22670956192758,Weekend,Not given,27,20
1478470,82062,RedFarm Hudson,American,19.130711948047452,Weekend,3,25,33
1478471,306619,Shake Shack,Chinese,18.45238350282764,Weekend,4,31,33
1478472,56765,Yama 49,Chinese,20.436079674091665,Weekend,3,27,17
1478473,64651,The Meatball Shop,Mediterranean,21.100680749424704,Weekend,Not given,29,33
1478474,62540,Parm,American,22.009665143246096,Weekend,4,25,30
1478475,65509,RedFarm Broadway,Middle Eastern,27.303018260617065,Weekday,3,32,18
1478476,314878,Shake Shack,American,17.899219987239672,Weekend,Not given,28,16
1478477,252842,Blue Ribbon Fried Chicken,Chinese,16.68893889702591,Weekend,4,33,21
1478478,283374,RedFarm Broadway,Japanese,22.69248249746792,Weekend,5,34,23
1478479,286429,Hiroko's Place,Italian,14.959838675107813,Weekday,Not given,33,28
1478480,206539,67 Burger,Italian,18.631803604348494,Weekend,Not given,32,21
1478481,378535,The Meatball Shop,Mediterranean,12.501410902436405,Weekend,Not given,24,27
1478482,59644,Sushi of Gari 46,Japanese,15.223382988434192,Weekend,5,30,25
1478483,304052,Sushi of Gari Tribeca,American,28.233057251415183,Weekday,4,35,16
1478484,111399,TAO,American,14.525897883013217,Weekend,4,24,20
1478485,60552,TAO,Thai,23.825107337025383,Weekend,Not given,20,24
